iter	Passed	Remaining
580	7934	2990
581	7947	2977
582	7960	2963
583	7973	2949
584	7986	2935
585	7999	2921
586	8011	2907
587	8023	2892
588	8036	2878
589	8050	2865
590	8063	2851
591	8075	2837
592	8088	2823
593	8100	2809
594	8112	2795
595	8125	2781
596	8138	2767
597	8151	2753
598	8163	2739
599	8176	2725
600	8189	2711
601	8201	2697
602	8214	2683
603	8227	2669
604	8239	2655
605	8252	2641
606	8264	2627
607	8277	2614
608	8290	2600
609	8303	2586
610	8316	2572
611	8328	2558
612	8340	2544
613	8353	2530
614	8365	2516
615	8377	2502
616	8389	2488
617	8403	2474
618	8416	2461
619	8429	2447
620	8441	2433
621	8453	2419
622	8466	2405
623	8479	2391
624	8492	2377
625	8504	2363
626	8517	2350
627	8530	2336
628	8542	2322
629	8554	2308
630	8567	2294
631	8581	2281
632	8595	2267
633	8609	2254
634	8623	2240
635	8638	2227
636	8652	2213
637	8666	2200
638	8680	2187
639	8694	2173
640	8709	2160
641	8724	2147
642	8739	2133
643	8756	2121
644	8771	2107
645	8786	2094
646	8801	2081
647	8816	2067
648	8830	2054
649	8846	2041
650	8862	2028
651	8880	2015
652	8896	2002
653	8910	1989
654	8927	1976
655	8942	1962
656	8957	1949
657	8972	1936
658	8990	1923
659	9008	1910
660	9026	1898
661	9044	1885
662	9062	1872
663	9079	1859
664	9097	1846
665	9113	1833
666	9129	1820
667	9146	1807
668	9163	1794
669	9178	1780
670	9194	1767
671	9211	1754
672	9227	1741
673	9243	1728
674	9258	1714
675	9275	1701
676	9290	1687
677	9305	1674
678	9322	1661
679	9340	1648
680	9357	1635
681	9374	1621
682	9391	1608
683	9406	1595
684	9423	1582
685	9440	1568
686	9456	1555
687	9472	1542
688	9487	1528
689	9503	1514
690	9519	1501
691	9536	1488
692	9554	1475
693	9571	1461
694	9587	1448
695	9602	1434
696	9619	1421
697	9635	1407
698	9650	1394
699	9667	1381
700	9684	1367
701	9699	1354
702	9715	1340
703	9731	1327
704	9748	1313
705	9764	1300
706	9780	1286
707	9798	1273
708	9814	1259
709	9831	1246
710	9846	1232
711	9862	1218
712	9878	1205
713	9894	1191
714	9913	1178
715	9928	1164
716	9944	1151
717	9960	1137
718	9976	1123
719	9993	1110
720	10008	1096
721	10026	1083
722	10041	1069
723	10056	1055
724	10071	1041
725	10087	1028
726	10103	1014
727	10118	1000
728	10137	987
729	10153	973
730	10170	959
731	10185	946
732	10201	932
733	10217	918
734	10233	904
735	10251	891
736	10268	877
737	10283	863
738	10300	850
739	10316	836
740	10331	822
741	10346	808
742	10364	795
743	10380	781
744	10396	767
745	10412	753
746	10428	739
747	10444	726
748	10461	712
749	10478	698
750	10494	684
751	10510	670
752	10526	657
753	10542	643
754	10558	629
755	10575	615
756	10591	601
757	10609	587
758	10628	574
759	10643	560
760	10660	546
761	10675	532
762	10692	518
763	10710	504
764	10727	490
765	10743	476
766	10759	462
767	10774	448
768	10790	434
769	10806	421
770	10824	407
